// --- DATOS PARA INGENIERIA ---
Colegio,CL,M1,M2,CI,HI,NEM,RAN
Instituto portaleano,962,969,759,924,762,555,596
Colegio Santa Maria de Maipu,760,975,705,549,734,409,414
Colegio torreon,757,836,496,885,675,588,638
Colegio sagrado corazon,672,813,903,695,923,646,672
Colegio torreon,814,920,772,913,683,831,855
Colegio sagrado corazon,813,648,793,804,775,643,674
Colegio sagrado corazon,789,670,741,911,878,442,486
Colegio Santa Maria de Maipu,733,552,422,882,689,886,886
Colegio Pedro de Valdivia,742,540,940,420,902,671,718
Instituto portaleano,914,596,537,984,835,674,716
Colegio Pedro de Valdivia,935,678,952,409,720,610,644
Colegio Santa Maria de Maipu,841,810,651,579,693,979,984
Colegio torreon,718,962,570,659,783,695,698
Instituto portaleano,989,611,472,744,727,314,343
Colegio sagrado corazon,827,949,997,731,666,130,174
Colegio Pedro de Valdivia,862,876,762,510,971,367,378
Colegio Santa Maria de Maipu,968,727,708,454,731,152,194
Colegio Pedro de Valdivia,698,951,823,488,843,309,329
Colegio torreon,792,761,607,435,867,698,726
Colegio Santa Maria de Maipu,764,868,761,934,877,707,721
Colegio sagrado corazon,729,999,626,453,739,163,209
Colegio torreon,790,986,772,432,746,805,814
Colegio Pedro de Valdivia,976,579,702,486,701,931,950
Colegio sagrado corazon,942,636,737,770,992,274,289
Colegio Santa Maria de Maipu,788,718,750,546,707,911,946
Colegio torreon,653,567,544,697,918,866,877
Colegio Pedro de Valdivia,817,841,983,960,878,229,262
Colegio Santa Maria de Maipu,995,928,998,943,849,844,872
Colegio Santa Maria de Maipu,681,665,538,706,705,144,180
Colegio Pedro de Valdivia,852,685,467,549,905,823,829
Colegio Pedro de Valdivia,827,547,858,983,797,577,625
Colegio Pedro de Valdivia,995,645,413,741,808,598,605
Colegio sagrado corazon,729,968,422,579,667,680,705
Colegio Santa Maria de Maipu,778,972,937,627,806,440,443
Instituto portaleano,898,645,424,409,984,144,178
Instituto portaleano,869,805,451,527,994,835,847
Colegio Pedro de Valdivia,750,873,783,731,737,944,966
Instituto portaleano,951,769,912,788,785,678,696
Colegio sagrado corazon,934,595,787,915,664,870,877
Colegio sagrado corazon,951,721,718,546,777,574,587
Colegio Santa Maria de Maipu,992,926,466,619,677,420,436
Colegio torreon,719,898,722,903,826,571,618
Colegio torreon,758,864,601,547,711,704,734
Colegio sagrado corazon,799,663,733,830,655,528,559
Colegio Pedro de Valdivia,879,510,490,972,974,755,782
Colegio Pedro de Valdivia,788,608,943,625,913,916,945
Colegio torreon,811,691,424,974,759,239,283
Colegio sagrado corazon,769,893,632,903,818,548,564
Colegio Pedro de Valdivia,708,742,831,586,651,106,138
Colegio sagrado corazon,880,719,842,470,779,559,595
Colegio Pedro de Valdivia,912,593,905,856,846,395,401
Instituto portaleano,733,514,545,591,791,753,771
Instituto portaleano,785,836,962,989,916,654,702
Colegio sagrado corazon,807,877,674,656,726,289,306
Colegio torreon,979,850,767,781,726,255,261
Colegio Santa Maria de Maipu,714,691,895,712,863,184,209
Instituto portaleano,986,533,439,601,728,109,158
Colegio Santa Maria de Maipu,657,756,615,833,848,419,458
Colegio Pedro de Valdivia,989,765,488,522,765,433,435
Colegio torreon,779,645,905,943,753,210,224
Instituto portaleano,816,919,882,749,930,788,831
Instituto portaleano,711,547,722,518,740,131,155
Instituto portaleano,758,932,885,782,815,444,450
Colegio torreon,906,714,519,694,936,168,203
Colegio Santa Maria de Maipu,940,610,498,665,929,303,340
Colegio Pedro de Valdivia,1000,864,924,406,981,211,231
Colegio torreon,663,525,783,780,939,650,677
Colegio torreon,679,895,870,453,808,240,249
Colegio sagrado corazon,685,961,920,752,814,166,184
Colegio torreon,716,522,977,463,858,358,359
Instituto portaleano,982,546,882,547,995,770,807
Instituto portaleano,856,549,860,839,793,745,770
Colegio torreon,877,635,985,693,866,441,488
Colegio torreon,743,916,896,608,965,641,688
Colegio Pedro de Valdivia,698,658,1000,966,885,343,357
Colegio Santa Maria de Maipu,848,865,486,598,851,296,304
Colegio Santa Maria de Maipu,952,682,567,785,876,770,810
Colegio Pedro de Valdivia,788,885,596,993,786,387,426
Colegio Santa Maria de Maipu,822,504,614,543,764,653,699
Colegio sagrado corazon,740,770,958,781,664,614,618
Colegio torreon,996,811,624,865,844,879,903
Colegio torreon,778,971,540,573,924,478,492
Colegio Pedro de Valdivia,785,761,740,657,780,411,411
Instituto portaleano,990,1000,614,860,911,876,918
Instituto portaleano,854,700,444,857,659,167,206
Colegio Pedro de Valdivia,681,656,603,503,839,136,156
Colegio torreon,860,657,560,450,951,899,931
Instituto portaleano,661,567,800,925,920,508,515
Colegio Santa Maria de Maipu,929,838,617,815,810,734,778
Colegio sagrado corazon,996,890,931,851,957,814,844
Colegio Santa Maria de Maipu,857,815,721,633,710,807,816
Colegio Santa Maria de Maipu,912,969,500,956,725,643,659
Instituto portaleano,983,781,590,623,651,128,162
Colegio sagrado corazon,755,599,874,670,920,135,156
Colegio Pedro de Valdivia,925,879,867,830,843,922,963
Colegio Pedro de Valdivia,830,844,570,476,697,528,541
Colegio Santa Maria de Maipu,657,862,635,811,775,545,560
Colegio torreon,658,949,881,866,765,970,991
Instituto portaleano,701,890,913,697,815,215,215
Colegio Santa Maria de Maipu,929,884,974,753,669,958,961
Colegio Pedro de Valdivia,857,752,936,825,694,673,678
Colegio Pedro de Valdivia,710,593,670,611,769,317,327
Colegio sagrado corazon,762,994,436,630,979,517,549
Colegio Pedro de Valdivia,726,599,844,437,690,197,231
Colegio Santa Maria de Maipu,924,940,933,417,740,405,410
Colegio torreon,870,680,743,790,738,398,422
Colegio Pedro de Valdivia,812,886,701,913,842,367,380
Colegio Pedro de Valdivia,674,876,486,829,681,551,598
Colegio Pedro de Valdivia,730,967,661,946,837,404,444
Colegio torreon,780,915,952,408,796,555,591
Colegio torreon,850,505,563,544,864,581,623
Instituto portaleano,776,816,930,708,784,387,434
Colegio sagrado corazon,780,547,560,799,808,247,291
Colegio Santa Maria de Maipu,925,503,711,522,993,407,436
Instituto portaleano,724,978,713,906,916,684,708
Instituto portaleano,819,920,704,796,959,954,982
Colegio sagrado corazon,994,598,653,762,936,974,1000
Instituto portaleano,795,723,658,543,886,324,334
Colegio sagrado corazon,738,592,588,516,823,204,239
Instituto portaleano,708,710,859,520,793,435,445
Colegio Santa Maria de Maipu,722,611,514,802,802,804,818
Colegio sagrado corazon,694,654,426,777,940,298,327
Colegio sagrado corazon,976,524,901,963,858,517,540
Colegio sagrado corazon,722,791,820,613,892,323,353
Colegio Santa Maria de Maipu,812,704,972,579,739,189,234
Instituto portaleano,709,746,561,485,999,251,267
Colegio sagrado corazon,884,619,600,868,712,441,469
Colegio Santa Maria de Maipu,716,564,407,832,975,274,322
Instituto portaleano,829,725,942,450,971,937,959
Colegio Santa Maria de Maipu,885,526,963,732,669,823,873
Colegio sagrado corazon,744,976,930,910,756,559,566
Colegio Santa Maria de Maipu,938,901,575,803,869,513,535
Instituto portaleano,840,692,956,612,750,752,777
Colegio sagrado corazon,925,866,517,884,756,701,715
Colegio torreon,824,633,717,471,859,807,827
Colegio sagrado corazon,963,552,899,519,871,634,680
Instituto portaleano,829,812,777,802,773,624,667
Colegio Pedro de Valdivia,703,907,820,678,838,624,625
Colegio Pedro de Valdivia,681,742,580,990,958,764,804
Colegio Santa Maria de Maipu,662,534,436,741,842,231,267
Colegio Santa Maria de Maipu,740,518,899,906,837,392,398
Colegio Pedro de Valdivia,796,818,658,576,724,395,435
Colegio sagrado corazon,844,575,811,932,775,299,348
Colegio Santa Maria de Maipu,998,901,747,732,756,474,524
Colegio torreon,917,592,765,899,668,869,892
Colegio sagrado corazon,977,774,771,911,921,132,166
Colegio sagrado corazon,858,620,601,780,959,822,823
Instituto portaleano,789,534,989,520,887,956,972
Colegio Santa Maria de Maipu,685,765,961,585,729,873,874
Instituto portaleano,852,518,536,555,782,584,592
Colegio sagrado corazon,935,656,573,963,924,709,714
Colegio sagrado corazon,976,949,521,646,764,666,675
Colegio Pedro de Valdivia,830,924,549,437,708,239,286
Colegio torreon,807,951,625,808,951,555,579
Colegio torreon,722,743,739,937,820,241,287
Colegio Santa Maria de Maipu,819,836,642,605,859,488,491
Colegio torreon,881,690,977,940,769,865,899
Colegio sagrado corazon,822,738,752,609,863,408,418
Colegio torreon,723,653,836,484,863,447,470
Colegio torreon,790,537,548,691,825,431,476
Colegio Santa Maria de Maipu,783,628,968,791,788,776,787
Instituto portaleano,959,824,906,723,962,907,957
Colegio torreon,744,906,835,956,976,570,578
Colegio sagrado corazon,756,566,707,427,679,494,519
Colegio torreon,662,957,719,495,925,451,501
Colegio Santa Maria de Maipu,771,800,452,852,936,504,510
Instituto portaleano,759,614,464,610,834,863,905
Instituto portaleano,852,849,766,804,987,682,686
Colegio torreon,848,881,478,970,988,697,710
Colegio Santa Maria de Maipu,834,835,462,856,652,328,350
Colegio sagrado corazon,981,802,414,798,820,415,438
Colegio torreon,753,701,410,797,708,686,714
Colegio sagrado corazon,953,659,585,816,726,477,502
Instituto portaleano,902,873,656,954,786,667,715
Colegio Santa Maria de Maipu,818,824,654,772,982,668,691
Colegio torreon,683,573,675,524,651,884,887
Colegio torreon,656,947,599,714,882,832,845
Colegio sagrado corazon,725,946,893,502,757,292,338
Colegio sagrado corazon,703,983,952,553,663,914,943
Colegio Pedro de Valdivia,985,598,634,982,835,212,229
Instituto portaleano,884,685,441,859,723,440,483
Colegio torreon,759,832,438,533,919,565,566
Colegio torreon,887,688,784,459,719,512,524
Colegio Pedro de Valdivia,701,958,872,664,990,507,520
Colegio Santa Maria de Maipu,920,643,935,471,989,998,1000
Colegio sagrado corazon,817,685,555,571,669,967,977
Colegio Pedro de Valdivia,853,857,830,992,879,808,858
Colegio Santa Maria de Maipu,708,510,461,834,905,416,458
Colegio Pedro de Valdivia,809,696,616,565,699,236,271
Colegio sagrado corazon,719,573,660,997,952,931,947
Colegio sagrado corazon,993,986,478,491,769,938,946
Colegio Santa Maria de Maipu,951,850,400,896,663,187,220
Colegio sagrado corazon,807,517,823,793,847,910,937
Colegio torreon,698,998,777,994,849,734,770
Instituto portaleano,761,890,592,420,966,969,1000
Colegio sagrado corazon,995,735,999,849,823,626,643
Instituto portaleano,846,933,797,611,707,297,325
Colegio Pedro de Valdivia,775,613,841,746,696,969,1000
Colegio torreon,968,873,422,905,739,885,918
Colegio Pedro de Valdivia,745,906,407,951,704,151,175
Colegio sagrado corazon,703,559,400,740,652,557,580
Colegio sagrado corazon,900,759,607,892,686,333,352
Colegio Santa Maria de Maipu,951,882,944,414,733,692,698
Colegio Santa Maria de Maipu,753,500,403,995,700,972,1000
Colegio Pedro de Valdivia,943,979,514,752,832,659,679
Colegio sagrado corazon,670,675,828,677,736,931,958
Colegio sagrado corazon,750,869,922,779,750,342,365
Colegio torreon,915,650,432,687,895,509,523
Instituto portaleano,803,566,502,621,897,478,518
Colegio sagrado corazon,653,660,850,844,851,462,471
Colegio Pedro de Valdivia,703,735,493,753,677,905,944
Instituto portaleano,703,580,688,450,733,616,652
Colegio sagrado corazon,674,714,610,405,844,856,903
Instituto portaleano,821,553,616,777,988,109,127
Instituto portaleano,893,955,421,591,810,648,657
Colegio torreon,779,819,553,920,970,608,646
Colegio Santa Maria de Maipu,883,679,454,769,715,337,339
Colegio Santa Maria de Maipu,793,735,758,655,879,142,167
Colegio Pedro de Valdivia,804,953,905,616,975,905,921
Colegio sagrado corazon,786,525,820,455,967,979,980
Colegio Santa Maria de Maipu,865,846,561,448,784,953,953
